UID,accession,collection_date,isolation_source,isolation_taxa,city,county,state,latitude,longitude,pseudo_lat,pseudo_lat,data_source
,HM488236,10/15/03,mosquito,Culiseta melanura,Killingworth,,Conneticut,,,,,PMID21723580
,HM756648,9/24/02,mosquito,Ochlerotatus trivittatus,Stratford,,Conneticut,,,,,PMID21723580
,HM756649,9/5/06,mosquito,Culex pipiens,Stratford,,Conneticut,,,,,PMID21723580
,HM756650,8/21/03,mosquito,Culex salinarius,New Haven,,Conneticut,,,,,PMID21723580
,HM756651,8/25/03,mosquito,Ochlerotatus trivittatus,Norwalk,,Conneticut,,,,,PMID21723580
,HM756652,8/26/03,mosquito,Aedes cinereus,Killingworth,,Conneticut,,,,,PMID21723580
,HM756653,8/26/03,mosquito,Culex pipiens,Killingworth,,Conneticut,,,,,PMID21723580
,HM756654,9/9/03,mosquito,Culex salinarius,Greenwich,,Conneticut,,,,,PMID21723580
,HM756656,9/17/03,mosquito,Culiseta melanura,Ledyard,,Conneticut,,,,,PMID21723580
,HM756657,10/1/03,mosquito,Culex pipiens,Bridgeport,,Conneticut,,,,,PMID21723580
,HM756658,10/7/03,mosquito,Culiseta melanura,Stonington,,Conneticut,,,,,PMID21723580
,HM756659,10/8/03,mosquito,Culiseta melanura,Westbrook,,Conneticut,,,,,PMID21723580
