UID,accession,collection_date,isolation_source,isolation_taxa,city,county,state,latitude,longitude,pseudo_lat,pseudo_lat,data_source
,KX547494,12-Sep-2010,,Corvus brachyrhynchos,,Schenectady,New York,,,,,PRJNA262930
,KX547493,19-Sep-2004,,Corvus brachyrhynchos,,Orange,New York,,,,,PRJNA262930
,KX547492,26-Sep-2002,,Culex sp.,,Westchester,New York,,,,,PRJNA262930
,KX547491,04-Sep-2007,,Corvus brachyrhynchos,,Queens,New York,,,,,PRJNA262930
,KX547490,06-Sep-2002,,Corvus brachyrhynchos,,Chemung,New York,,,,,PRJNA262930
,KX547489,29-Jul-2004,,Corvus brachyrhynchos,,Richmond,New York,,,,,PRJNA262930
,KX547488,15-Sep-2011,,Culex sp.,,Suffolk,New York,,,,,PRJNA262930
,KX547487,04-Oct-2004,,Corvus brachyrhynchos,,New,New York,,,,,PRJNA262930
,KX547486,13-Sep-2005,,Culex sp.,,Erie,New York,,,,,PRJNA262930
,KX547485,13-Jun-2014,,Culex sp.,,Rockland,New York,,,,,PRJNA262930
,KX547484,01-Oct-2002,,Corvus ossifragus,,Genesee,New York,,,,,PRJNA262930
,KX547483,03-Jul-2014,,Culex sp.,,Nassau,New York,,,,,PRJNA262930
,KX547482,07-Aug-2013,,Culiseta sp.,,Oswego,New York,,,,,PRJNA262930
,KX547481,01-Sep-2005,,Cyanocitta cristata,,Nassau,New York,,,,,PRJNA262930
,KX547480,22-Sep-2003,,Culex sp.,,Columbia,New York,,,,,PRJNA262930
,KX547479,07-Sep-2005,,Aedes sp.,,Suffolk,New York,,,,,PRJNA262930
,KX547478,08-Sep-2001,,Culex sp.,,Rockland,New York,,,,,PRJNA262930
,KX547477,10-Aug-2004,,Culex sp.,,Monroe,New York,,,,,PRJNA262930
,KX547476,07-Aug-2008,,Cyanocitta cristata,,Suffolk,New York,,,,,PRJNA262930
,KX547475,06-Aug-2006,,Corvus brachyrhynchos,,Orleans,New York,,,,,PRJNA262930
,KX547474,11-Oct-2002,,Sciurus carolinensis,,Albany,New York,,,,,PRJNA262930
,KX547473,17-Jul-2013,,Culex sp.,,Erie,New York,,,,,PRJNA262930
,KX547472,31-Aug-2006,,Cyanocitta cristata,,Livingston,New York,,,,,PRJNA262930
